reporting_level|fice_code|institution|degree|cip_2|cip_category|cip_4|cip_detail|graduates|employed_pct|avg_first_year_wages|full_time_pct|avg_first_year_full_time_wages
1|012860|Arkansas Northeastern College|Certificates of Proficiency|||ALL AREAS OF STUDY||308|80|23239|31|40303
1|012860|Arkansas Northeastern College|Technical Certificates|||ALL AREAS OF STUDY||134|80|32751|43|41241
1|012860|Arkansas Northeastern College|Associate Degrees|||ALL AREAS OF STUDY||251|78|36316|41|49706
3|012860|Arkansas Northeastern College|Certificates of Proficiency|46|Construction Trades|0000|CONSTRUCTION TRADES|56|80|41577|46|57769
3|012860|Arkansas Northeastern College|Certificates of Proficiency|48|Precision Production|0508|Welding Technology/Welder|11|91|26666|45|33394
3|012860|Arkansas Northeastern College|Certificates of Proficiency|51|Health Professions|0904|Emergency Medical Technology/Technician (EMT Paramedic)|29|86|36342|38|56937
3|012860|Arkansas Northeastern College|Certificates of Proficiency|51|Health Professions|1009|Phlebotomy Technician/Phlebotomist|54|61|16115|24|25255
3|012860|Arkansas Northeastern College|Certificates of Proficiency|51|Health Professions|3902|Nursing Assistant/Aide and Patient Care Assistant/Aide|135|87|12788|25|20149
3|012860|Arkansas Northeastern College|Technical Certificates|47|Mechanic & Repair Technologies|0201|Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician|33|73|43512|42|58193
3|012860|Arkansas Northeastern College|Technical Certificates|48|Precision Production|0508|Welding Technology/Welder|16|88|28773|50|35676
3|012860|Arkansas Northeastern College|Technical Certificates|51|Health Professions|0601|Dental Assisting/Assistant|13|77|23553|62|25963
3|012860|Arkansas Northeastern College|Technical Certificates|51|Health Professions|0904|Emergency Medical Technology/Technician (EMT Paramedic)|16|75|37655|25|62335
3|012860|Arkansas Northeastern College|Technical Certificates|51|Health Professions|3901|Licensed Practical/Vocational Nurse Training|49|86|28260|43|31835
3|012860|Arkansas Northeastern College|Associate Degrees|13|Education|1202|Elementary Education and Teaching|17|71|13707|24|21397
3|012860|Arkansas Northeastern College|Associate Degrees|13|Education|1210|Early Childhood Education and Teaching|13|85|17672|62|19427
3|012860|Arkansas Northeastern College|Associate Degrees|15|Engineering Technology|0611|Metallurgical Technology/Technician|23|83|81396|70|89583
3|012860|Arkansas Northeastern College|Associate Degrees|24|Liberal Arts & Sci., Gen. Studies|0102|General Studies|76|71|21790|20|34180
3|012860|Arkansas Northeastern College|Associate Degrees|30|Multi/Interdisciplinary Studies|9999|Multi-/Interdisciplinary Studies, Other|11|82|38412|55|55788
3|012860|Arkansas Northeastern College|Associate Degrees|51|Health Professions|3801|Registered Nursing/Registered Nurse|55|87|50676|60|53554
3|012860|Arkansas Northeastern College|Associate Degrees|52|Business, Management & Marketing|0101|Business/Commerce, General|21|81|22432|24|31348
